matricul	departem	ptvente	sexe	age	sitfamil	anciente	csp	codeqlt	nbimpaye	mtrejet	nbopguic	moycred3	aveparmo	endette	engagemt	engagemc	engagemm	nbcptvue	moysold3	moycredi	agemvt	nbop	mtfactur	engageml	nbvie	mtvie	nbeparmo	mteparmo	nbeparlo	mteparlo	nblivret	mtlivret	nbeparlt	mteparlt	nbeparte	mteparte	nbbon	mtbon	nbpaiecb	nbcb	nbcbptar	avtscpte	aveparfi	cartevp	sexer	cartevpr	nbjdebit
1544241	65	1	Sfem	61	Fsep	185	Psan	A	0	0	2	15	219959	0	2153	2153	0	1	6293	14	11	28	0	0	2	50524	4	219959	2	94594	0	0	2	125365	0	0	0	0	12	2	0	591101	369777	Coui	1	1	4
1740892	31	4	Sfem	41	Fdiv	268	Psan	A	0	0	7	54	19673	0	0	0	0	2	19467	52	11	22	132295	0	13	2947037	3	19673	1	5300	2	14373	0	0	0	0	0	0	0	1	0	3530191	3505061	Coui	1	1	4
1970765	31	1	Shom	50	Fmar	94	Pcad	A	0	0	13	243	452580	2	51059	0	51059	2	39226	243	11	88	0	0	1	135564	4	452580	1	2320	2	421972	1	28288	0	0	0	0	0	1	0	1236029	700685	Coui	0	1	8
2647067	24	1	Shom	43	Fcel	85	Part	B	0	0	1	22	29483	12	83808	0	83808	1	4340	22	11	41	84000	0	0	0	1	29483	0	0	1	29483	0	0	0	0	0	0	12	1	0	42542	0	Coui	0	1	0
2849823	31	1	Shom	26	Fcel	75	Psan	B	0	0	0	41	28172	8	249605	0	0	2	13329	41	11	48	0	249605	0	0	2	28172	2	28172	0	0	0	0	0	0	0	0	38	3	0	55618	0	Coui	0	1	0
3258308	31	1	Shom	52	Fmar	38	Pcad	B	0	0	3	53	52913	6	271749	0	271749	2	6333	53	11	72	0	0	0	0	3	52913	1	2216	2	50697	0	0	0	0	0	0	29	4	0	165849	5753	Coui	0	1	86
3346139	31	1	Shom	32	Fcel	147	Pcad	A	0	0	0	14	131813	0	0	0	0	1	20105	14	11	20	52863	0	0	0	3	131813	2	120043	1	11770	0	0	0	0	0	0	4	1	0	270249	126828	Coui	0	1	0
3901483	32	2	Shom	33	Fcel	162	Pcad	D	0	0	0	22	16302	0	0	0	0	1	8192	19	14	47	0	0	0	0	1	16302	0	0	1	16302	0	0	0	0	0	0	23	2	0	16327	0	Coui	0	1	0
5023873	82	5	Sfem	43	Fmar	18	Pemp	C	0	0	1	0	0	57	100147	147	100000	3	15712	0	11	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	.	0	0	4	0	Coui	1	1	47
5044500	31	3	Shom	28	Fcel	10	Pcad	D	0	0	0	0	100	0	345	345	0	1	-91	0	11	2	24500	0	0	0	1	100	0	0	1	100	0	0	0	0	0	0	0	1	0	100	0	Coui	0	1	3
5064228	65	1	Shom	48	Fdiv	3	Pemp	E	0	0	0	26	0	0	0	0	0	1	14412	26	14	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	1	0	2455	0	Coui	0	1	0
5068163	31	2	Sfem	41	Fcel	1	Pcad	E	0	0	3	80	39700	0	0	0	0	1	10009	80	11	9	4200	0	0	0	1	39700	0	0	1	39700	0	0	0	0	0	0	0	1	0	60098	0	Coui	1	1	0
5068673	31	2	Shom	33	Fmar	1	Pcad	E	0	0	0	8	13000	0	2563	2563	0	1	1696	7	11	13	0	0	0	0	1	13000	1	13000	0	0	0	0	0	0	0	0	0	2	0	13000	0	Coui	0	1	0
5069492	32	3	Shom	53	Fdiv	1	Pcad	.	0	0	1	8	0	0	0	0	0	1	3412	8	15	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	24202	0	Coui	0	1	0
5069907	31	1	Shom	37	Fmar	1	Pcad	.	0	0	0	0	0	0	40000	40000	0	1	-20000	0	16	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	Coui	0	1	3
7534429	31	1	Sfem	63	Fmar	2	Pcad	E	0	0	1	27	30669	0	0	0	0	1	9871	17	18	6	0	0	0	0	1	30669	0	0	1	30669	0	0	0	0	0	0	0	1	0	229729	148060	Coui	1	1	0
133439	31	1	Shom	48	Fmar	337	Pemp	B	0	0	3	44	2125	19	584230	0	0	1	13834	44	12	74	69000	584230	2	21986	2	2125	0	0	2	2125	0	0	0	0	0	0	28	2	0	82617	51218	Coui	0	1	7
543448	65	1	Sfem	65	Fmar	255	Part	B	0	0	1	71	43714	17	127460	0	127460	1	16348	48	12	26	128300	0	3	156196	2	43714	2	43714	0	0	0	0	0	0	0	0	0	2	0	203805	156196	Coui	1	1	5
945822	31	1	Sfem	62	Fveu	386	Pemp	.	0	0	1	5	185076	0	0	0	0	1	1070	5	12	13	0	0	0	0	2	185076	2	185076	0	0	0	0	0	0	0	0	1	1	0	280352	82252	Coui	1	1	0
1231284	31	1	Shom	62	Fmar	363	Pcad	A	0	0	2	44	223825	0	0	0	0	1	10837	44	12	48	63500	0	0	0	3	223825	2	192011	1	31814	0	0	0	0	0	0	11	2	0	258851	300	Coui	0	1	1
1252382	66	2	Shom	35	Fcel	189	Pcad	B	0	0	1	19	19122	30	259057	0	16326	1	5360	19	12	33	0	242731	0	0	3	19122	2	18841	1	281	0	0	0	0	0	0	10	2	0	21026	0	Coui	0	1	29
1334438	32	3	Shom	46	Fmar	54	Pcad	A	0	0	2	28	122457	16	306503	0	44406	1	17289	28	12	58	44500	262097	0	0	4	122457	1	42429	2	78960	1	1068	0	0	0	0	18	3	1	185010	62293	Coui	0	1	1
1560224	65	4	Shom	34	Fcel	90	Pemp	B	0	0	5	71	22006	1	111923	0	111923	2	14387	67	12	71	0	0	0	0	2	22006	1	6718	1	15288	0	0	0	0	0	0	10	2	1	144070	83549	Coui	0	1	8
1740529	31	1	Shom	44	Fmar	282	Pemp	.	0	0	0	23	0	0	99234	41966	0	1	-33676	23	15	36	3400	57268	0	0	1	0	1	0	0	0	0	0	0	0	0	0	11	1	0	200	200	Coui	0	1	78
2448202	31	1	Shom	40	Fcel	101	Pemp	A	0	0	3	32	559103	13	69775	0	43724	2	19163	32	12	31	0	26051	2	26153	4	559103	2	479261	2	79842	0	0	0	0	0	0	8	2	0	739540	137863	Coui	0	1	1
2454856	31	1	Shom	54	Fmar	113	Pcad	B	0	0	0	81	0	0	0	0	0	1	167799	81	15	38	84000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	5	2	220433	0	Coui	0	1	0
2850436	31	1	Shom	53	Fmar	63	Pcad	D	0	0	1	11	500	53	65874	17110	48764	1	-11896	11	15	25	0	0	0	0	2	500	0	0	2	500	0	0	0	0	0	0	12	2	0	500	0	Coui	0	1	65
4004405	31	1	Shom	34	Fmar	144	Pcad	B	0	0	0	171	218353	0	31479	21040	10439	1	-12246	104	12	54	0	0	1	19568	3	218353	1	68353	2	150000	0	0	0	0	0	0	21	3	0	362127	143774	Coui	0	1	88
5004401	31	1	Shom	30	Fmar	26	Pcad	B	0	0	0	49	62707	9	146581	15441	131140	1	8682	49	12	30	0	0	0	0	1	62707	0	0	1	62707	0	0	0	0	0	0	7	2	0	62707	0	Coui	0	1	2
5013143	40	1	Sfem	30	Fcel	23	Part	C	0	0	5	5	0	0	1261	1261	0	1	505	1	16	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2566	0	Coui	1	1	4
5057209	92	1	Shom	53	Fmar	6	Pcad	.	0	0	0	0	0	0	0	0	0	1	-545	0	12	2	117000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	22830	0	Coui	0	1	22
5065825	31	1	Shom	34	Fuli	3	Pcad	E	0	0	1	31	0	7	46076	46076	0	1	44206	31	12	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	27363	0	Coui	0	1	0
5065986	31	1	Shom	39	Fmar	3	Pcad	E	0	0	1	3	0	0	0	0	0	1	4814	3	12	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	7113	0	Coui	0	1	0
5070242	31	1	Shom	39	Fmar	2	Pcad	.	0	0	0	7	100	0	0	0	0	1	5253	7	12	7	102400	0	0	0	1	100	0	0	1	100	0	0	0	0	0	0	0	4	0	20380	0	Coui	0	1	0
5070512	31	1	Shom	38	Fmar	1	Pcad	.	0	0	0	15	0	0	0	0	0	1	-171	15	12	27	109788	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	3	0	10286	0	Coui	0	1	20
5072065	65	1	Shom	35	Fmar	1	Pcad	.	0	0	0	0	100	0	435	435	0	2	-96	0	12	7	10182	0	0	0	1	100	0	0	1	100	0	0	0	0	0	0	0	1	0	100	0	Coui	0	1	5
7558443	31	1	Shom	43	Fmar	27	Part	B	0	0	1	76	26251	10	396900	0	0	1	84186	0	15	4	0	396900	0	0	1	26251	0	0	1	26251	0	0	0	0	0	0	1	1	0	63017	0	Coui	0	1	3
131747	31	1	Shom	58	Fmar	786	Pcad	A	0	0	2	41	352969	0	0	0	0	1	20537	41	14	29	151900	0	0	0	3	352969	1	101901	2	251068	0	0	0	0	0	0	13	1	0	526839	164797	Coui	0	1	1
146807	31	1	Shom	39	Fcel	247	Pemp	D	0	0	3	2	360722	33	12220	377	11843	1	15098	1	14	51	103000	0	0	0	5	360722	0	0	4	360722	0	0	1	0	0	0	19	2	0	360722	0	Coui	0	1	6
158515	.	1	Shom	33	Fcel	153	Pcad	C	0	0	0	50	28239	0	0	0	0	1	17608	50	14	36	0	0	0	0	3	28239	1	27414	2	825	0	0	0	0	0	0	16	2	0	39994	0	Coui	0	1	10
458435	82	1	Shom	35	Fcel	110	Pcad	C	0	0	1	3	0	0	0	0	0	1	5000	3	26	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	.	0	0	10000	0	Coui	0	1	0
545144	65	2	Shom	46	Fmar	235	Pcad	B	0	0	7	60	12243	14	459921	1186	17781	2	13368	57	14	70	0	440954	0	0	1	12243	0	0	1	12243	0	0	0	0	0	0	10	1	0	47129	0	Coui	0	1	55
552080	65	1	Sfem	43	Fdiv	145	Part	A	0	0	0	30	14718	28	166617	0	0	1	9517	10	14	16	0	166617	1	40380	2	14718	1	2000	1	12718	0	0	0	0	0	0	6	2	0	62505	40380	Coui	1	1	6
552539	65	1	Shom	34	Fmar	139	Pouv	D	0	0	0	45	848	10	723753	8153	0	2	-13406	45	14	44	192000	715600	0	0	1	848	0	0	0	0	1	848	0	0	0	0	14	1	0	848	0	Coui	0	1	68
646307	65	1	Shom	31	Fcel	92	Part	A	0	0	1	60	318167	21	240171	0	240171	1	5452	9	14	18	0	0	0	0	3	318167	2	249355	1	68812	0	0	0	0	0	0	1	1	0	363410	0	Coui	0	1	1
807218	31	1	Shom	28	Fmar	119	Part	C	0	-51	17	500	0	2	507440	96391	210301	1	3636	12	15	36	0	200748	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	2384	0	Coui	0	1	16
843602	31	1	Shom	47	Fmar	227	Pcad	.	0	0	1	39	0	30	1256854	0	70000	1	-41576	39	14	49	0	1186854	0	0	1	0	1	0	0	0	0	0	0	0	0	0	18	3	1	8770	0	Coui	0	1	86
860436	31	2	Shom	42	Fdiv	49	Pcad	C	0	0	0	22	257	21	70047	28692	41355	1	866	22	14	41	0	0	0	0	1	257	0	0	1	257	0	0	0	0	0	0	20	2	0	257	0	Coui	0	1	35
1041135	31	3	Shom	60	F.	264	Pcad	C	0	0	1	18	0	0	0	0	0	1	41565	18	16	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	47689	4550	Coui	0	1	0
1053848	31	1	Shom	34	Fmar	182	Pouv	B	0	0	4	41	0	12	741826	0	0	1	10590	41	15	60	15522	741826	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	2	0	32007	0	Coui	0	1	12
1146168	31	1	Sfem	43	Fmar	176	Pcad	A	0	0	4	111	607952	2	506379	0	0	2	35315	111	14	68	210220	506379	1	11756	4	607952	2	515464	1	34281	1	58207	0	0	0	0	30	2	0	922580	191280	Coui	1	1	50
1163558	31	1	Shom	51	Fdiv	132	Pcad	C	0	0	1	114	0	42	576929	0	0	1	192261	114	14	85	263500	576929	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	4	1	242557	58624	Coui	0	1	9
1222222	31	1	Shom	49	Fmar	318	Pcad	B	0	0	1	37	75439	0	0	0	0	1	35867	37	14	29	85122	0	0	0	1	75439	1	75439	0	0	0	0	0	0	0	0	12	2	0	125034	2500	Coui	0	1	0
1245931	31	1	Shom	62	Fmar	868	Part	C	0	0	1	104	0	10	150664	51314	99350	1	343	0	40	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	1	0	416	0	Coui	0	1	4
1442268	31	1	Shom	62	F.	246	Pcad	A	0	0	5	52	81550	2	2565	2565	0	1	21417	52	14	68	116784	0	2	142784	3	81550	1	68642	2	12908	0	0	0	0	0	0	19	1	0	341725	238564	Coui	0	1	3
1451001	31	2	Shom	47	Fdiv	203	Pcad	C	0	0	2	40	14686	17	274798	12523	0	1	-6456	40	15	39	0	262275	0	0	2	14686	2	14686	0	0	0	0	0	0	0	0	23	2	0	15286	600	Coui	0	1	53
1452546	31	2	Shom	47	Fdiv	88	Pcad	D	0	0	1	30	0	0	6751	6751	0	1	5268	30	15	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	2	0	0	0	Coui	0	1	14
1644080	31	3	Shom	56	Fmar	228	Pcad	A	0	0	1	52	373632	0	0	0	0	1	18937	46	14	12	0	0	1	7243	3	373632	1	138276	2	235356	0	0	0	0	0	0	2	1	0	413466	30545	Coui	0	1	0
1949374	31	1	Shom	39	Fdiv	103	Pcad	A	0	0	23	60	33478	0	9680	9680	0	2	9197	60	14	75	0	0	2	44647	2	33478	1	3733	1	29745	0	0	0	0	0	0	4	1	0	92343	44647	Coui	0	1	6
2231081	31	3	Sfem	64	Fdiv	844	Pret	B	0	0	1	41	105919	6	35479	0	35479	1	7595	41	14	31	0	0	1	19100	3	105919	1	29641	2	76278	0	0	0	0	0	0	11	1	0	131386	20100	Coui	1	1	31
2241449	31	1	Shom	51	Fmar	870	Pemp	A	0	0	1	22	116894	55	323050	30025	106187	2	-7356	22	14	45	0	186838	1	49937	4	116894	2	13827	1	108	1	102959	0	0	0	0	16	1	0	167951	49937	Coui	0	1	85
2243651	31	1	Shom	50	Fmar	226	Part	A	0	0	8	79	30765	10	105636	10350	53339	1	12551	10	15	21	0	41947	0	0	3	30765	1	0	1	29923	1	842	0	0	0	0	4	3	1	66069	0	Coui	0	1	0
2244573	31	3	Sfem	46	Fmar	83	Pcad	A	0	0	26	76	259179	8	95606	0	95606	2	56651	76	14	79	0	0	4	128483	4	259179	2	145412	1	30444	1	83323	0	0	0	0	14	2	0	1095473	770248	Coui	1	1	0
2344166	31	1	Shom	47	Fmar	161	Part	B	0	0	2	29	16878	14	108427	0	108427	1	34312	29	14	36	0	0	0	0	1	16878	1	16878	0	0	0	0	0	0	0	0	6	1	0	55324	1000	Coui	0	1	0
2646853	97	1	Shom	33	Fmar	150	Pcad	A	0	0	1	26	580	0	9586	9586	0	2	9110	26	15	34	115000	0	0	0	1	580	0	0	1	580	0	0	0	0	0	0	20	2	0	800	0	Coui	0	1	7
3252819	31	2	Sfem	59	Fmar	186	Part	A	0	0	13	81	100604	3	97707	0	97707	1	6044	2	16	2	99660	0	1	5818	3	100604	1	27451	1	7000	1	66153	0	0	0	0	5	2	0	126740	5818	Coui	1	1	0
5002794	31	3	Shom	32	Fcel	28	Pemp	D	0	0	7	40	15315	3	40086	0	40086	1	-11472	40	14	31	0	0	0	0	1	15315	1	15315	0	0	0	0	0	0	0	0	3	3	0	17795	0	Coui	0	1	85
5006282	31	1	Shom	30	Fcel	27	Pcad	B	0	0	2	93	0	0	60000	0	60000	1	45665	32	15	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	2	0	264783	0	Coui	0	1	26
5028122	31	2	Shom	42	Fmar	18	Pcad	C	0	0	13	124	0	5	674032	44178	129677	2	6178	124	14	65	0	500177	1	7842	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	8613	7842	Coui	0	1	51
5033438	65	1	Shom	45	Fmar	16	Pcad	C	0	0	3	24	0	6	70827	4802	66025	1	-359	24	14	22	111100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	2	0	0	0	Coui	0	1	52
5054835	31	1	Shom	62	Fdiv	8	Pret	C	0	0	0	0	29574	0	0	0	0	1	866	0	14	0	0	0	0	0	1	29574	0	0	1	29574	0	0	0	0	0	0	0	1	0	50440	0	Coui	0	1	0
7509027	32	1	Shom	39	Fmar	1	Pcad	.	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	.	0	0	0	0	Coui	0	1	0
7549621	64	1	Shom	54	Fmar	7	Pcad	C	0	0	1	16	0	0	0	0	0	1	159222	16	14	38	95378	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	1	0	23555	0	Coui	0	1	0
153976	46	2	Sfem	40	Fmar	195	Pcad	B	0	0	0	29	0	0	0	0	0	1	51724	29	14	8	0	0	1	253915	0	0	0	0	0	0	0	0	0	0	0	0	5	3	1	332200	253915	Coui	1	1	0
161022	31	1	Shom	45	Fmar	137	Part	A	0	0	8	206	337611	7	1643458	0	373966	1	119749	17	10	20	0	1269492	1	147796	5	337611	2	12337	3	325274	0	0	0	0	0	0	2	1	0	692564	147796	Coui	0	1	0
562218	75	1	Shom	41	Fmar	222	Pouv	D	0	0	0	49	23993	13	79535	23971	55564	1	-12177	49	14	134	389362	0	0	0	2	23993	1	23854	1	139	0	0	0	0	0	0	69	3	0	23993	0	Coui	0	1	66
564164	65	1	Shom	25	Fcel	137	Psan	B	0	0	2	8	22983	0	0	0	0	1	-5461	8	10	39	135581	0	0	0	2	22983	1	22793	1	190	0	0	0	0	0	0	19	2	0	122315	90133	Coui	0	1	85
584918	75	2	Sfem	32	Fcel	165	Pemp	A	0	0	0	24	402219	0	2041	2041	0	1	-7256	24	10	54	56214	0	1	74263	4	402219	2	401875	2	344	0	0	0	0	0	0	26	2	0	476482	74263	Coui	1	1	66
749896	31	1	Shom	51	Fcel	76	Pcad	B	0	0	0	30	0	0	0	0	0	2	13694	30	14	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	2	0	54716	0	Coui	0	1	0
941523	31	1	Shom	44	Fmar	257	Pemp	C	0	0	0	48	0	0	0	0	0	2	10626	49	10	61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	2	0	34106	0	Coui	0	1	32
1050432	31	4	Shom	51	Fmar	862	Pemp	B	0	0	3	42	548	14	311773	0	132206	1	504	42	10	67	0	179567	0	0	1	548	0	0	0	0	1	548	0	0	0	0	19	2	0	38646	50	Coui	0	1	52
1340063	31	1	Shom	52	Fmar	303	Pemp	B	0	0	2	31	0	2	5595	5595	0	1	3472	31	10	62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	2	0	26207	9552	Coui	0	1	25
1470028	31	1	Sfem	48	Fmar	154	Pcad	A	0	0	28	50	342254	0	0	0	0	1	35423	50	10	45	0	0	3	225979	5	342254	2	106248	1	30547	2	205459	0	0	0	0	.	0	0	709570	334975	Coui	1	1	0
1949917	31	1	Shom	24	Fcel	87	Pemp	C	0	0	4	17	27788	8	49311	567	48744	1	455	2	10	41	0	0	0	0	3	27788	0	0	3	27788	0	0	0	0	0	0	23	2	0	27788	0	Coui	0	1	14
1980113	33	1	Shom	53	Fmar	88	Pemp	D	0	0	0	89	0	2	82975	0	82975	1	44851	89	10	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	1	0	55873	0	Coui	0	1	8
2040396	75	4	Shom	45	F.	259	Pcad	B	0	0	0	14	3116	0	0	0	0	1	30722	14	10	36	131052	0	0	0	1	3116	0	0	1	3116	0	0	0	0	0	0	28	2	0	35616	0	Coui	0	1	0
2245612	31	1	Shom	57	Fmar	170	Pcad	.	0	0	1	75	160000	0	44033	44033	0	1	3194	38	10	4	0	0	0	0	2	160000	0	0	2	160000	0	0	0	0	0	0	0	1	0	162000	2000	Coui	0	1	0
2550721	31	1	Shom	52	Fmar	196	Pcad	A	0	0	2	44	121467	0	3037	3037	0	1	22536	44	10	77	0	0	0	0	4	121467	2	86733	2	34734	0	0	0	0	0	0	28	3	0	737828	616361	Coui	0	1	6
2643348	31	1	Shom	46	Fmar	177	Pcad	A	0	0	1	33	18892	0	898	898	0	1	7734	33	10	101	114374	0	1	51845	2	18892	0	0	2	18892	0	0	0	0	0	0	40	4	1	70737	51845	Coui	0	1	0
2840169	31	1	Shom	63	Fmar	791	Part	A	0	0	2	297	417078	5	243391	125865	117526	1	58283	148	10	82	147400	0	0	0	4	417078	2	97453	2	319625	0	0	0	0	0	0	34	3	0	468185	51107	Coui	0	1	5
3745851	65	1	Sfem	35	Fmar	197	Pcad	A	0	0	8	122	49904	11	727037	0	121985	2	26798	108	10	130	0	605052	0	0	3	49904	2	8731	1	41173	0	0	0	0	0	0	29	1	0	104655	0	Coui	1	1	4
4300809	31	1	Sfem	44	Fmar	70	Part	.	0	0	0	0	3204	0	0	0	0	0	0	0	0	0	20500	0	2	837497	3	3204	3	3204	0	0	0	0	0	0	0	0	.	0	0	844785	840222	Coui	1	1	0
5019602	31	1	Shom	40	Fdiv	23	Pcad	D	0	0	1	1	0	59	51718	0	51718	1	388	1	22	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	.	0	0	231	0	Coui	0	1	0
5031910	31	3	Shom	39	Fmar	18	Pcad	.	0	0	0	1100	970000	0	0	0	0	0	0	0	0	0	0	0	0	0	1	970000	0	0	1	970000	0	0	0	0	0	0	0	2	0	971158	0	Coui	0	1	0
5047362	31	2	Sfem	64	Fdiv	12	Pret	B	0	0	0	13	95365	0	0	0	0	1	8210	13	10	42	0	0	0	0	3	95365	0	0	3	95365	0	0	0	0	0	0	16	1	0	159394	62803	Coui	1	1	5
5065847	31	3	Sfem	42	Fmar	5	Pcad	C	0	0	0	20	0	23	107678	107678	0	1	6906	20	10	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	Coui	1	1	11
5074054	31	3	Shom	36	Fmar	2	Pcad	E	0	0	0	1	1100	0	0	0	0	1	1202	1	48	0	0	0	0	0	1	1100	0	0	1	1100	0	0	0	0	0	0	0	1	0	2913	0	Coui	0	1	0
5074279	81	1	Shom	51	Fuli	2	Pcad	E	0	0	2	1	0	0	0	0	0	1	1700	1	10	3	84000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3108	0	Coui	0	1	0
5075425	31	2	Shom	52	Fmar	1	Pcad	E	0	0	0	0	0	0	780	780	0	1	-390	0	17	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	Coui	0	1	6
5075629	31	1	Shom	52	Fmar	1	Pcad	.	0	0	4	332	0	0	0	0	0	2	82357	332	10	21	121768	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	1	0	350609	0	Coui	0	1	28
5076794	31	2	Shom	33	Fcel	1	Pemp	.	0	0	1	0	100	0	0	0	0	1	461	0	20	2	0	0	0	0	1	100	0	0	1	100	0	0	0	0	0	0	0	1	0	1000	0	Coui	0	1	0
7508550	31	1	Shom	54	Fmar	141	Pemp	B	0	0	1	46	87724	2	80408	0	80408	1	11797	45	10	84	58706	0	0	0	4	87724	2	5124	2	82600	0	0	0	0	0	0	26	2	0	115048	0	Coui	0	1	0
7551721	31	2	Sfem	58	Fmar	5	Psan	D	0	0	1	3	28523	0	0	0	0	1	526	3	10	8	130810	0	0	0	2	28523	0	0	2	28523	0	0	0	0	0	0	0	1	0	38677	0	Coui	1	1	0
